Vor einer vespercite	hovp sich groz vngemach 
daz von manigem recken	vf dem hove geschach 
si pflagen ritterschepfte	dvrch chvercewile wan 
do lieffen dar dvrch schowen	vil manich wip vnde man 
Zesamene do gesazen	di kveneginne rich 
si gedahten zweir recken	di waren lobelich 
do sprach div schoene Criemhilt	ich han einen man 
daz elliv disiv riche	ce sinen handen solden stan 
Do sprach div vrov Prvnnhilt	wi chvnde daz gesin 
ob ander niemen lebte	wan sin vnde din 
di wile <lebt> Gvnther	so chvnd ez nimmer ergan 
Do sprach aber Criemhilt	nv sihestv wi er stat 
wi rehte herliche	er [328a] vor den recken gat 
alsam der liehte mane	vor den sternen tvt 
des mvz ich von schvlden	tragen vrolichen mvt 
Do sprach div vrov Prvnnhilt	swi wætlich si din man 
swi edele vnt swi shoene	so mvst tv vor im lan 
Gvnther den recken	den edeln brvder din 
der mvz vor allen chvenegen	daz wizest wærliche sin 
Do sprach do vrov Criemhilt	so tiwer ist wol min man 
daz ich in ane schvlde	niht gelobet han 
an vil manegen dingen	so ist sin ere groz 
gelovbestv des Prvenhilt	er ist wol Gvnthers genoz 
Iane solt dv mirz Criemhilt	ce arge niht verstan 
wand ich ane schvlde	di rede niht han getan 
ich horte si iehen beide	do iches aller erste sach 
vnd da des chveneges wiole	an minem libe geschach 
vnt da er mine minne	so ritterlich gewan 
da iach des selbe Sifrit	er wære skveneges man 
des han <ich> in fver eigen	sit iches in hoere iehen 
<dv> sprach div shone Criemhilt	so wære mir vebele geshæhen 
Wi heten so geworben	di edelen brvder min 
daz ich eigenmannes	wine solde sin 
des wil ich dich Prvnnhilt	vil frivntliche bitten 
daz dv di rede lazest	dvrch mich mit gvetlichen sitten 
Iane mach ir niht gelazen	sprach des chveneges wip 
zwiv sold ich verchiesen	so maniges ritters lip 
der vns mit dem degene	dienestlich ist vndertan 
Criemhilt div vil schone	vil sere zvernen began 
Dv mvst in verchiesen	daz er dir immer bi 
wone deheiner dienste	er ist tiwerr danne si 
Gvnther der min brvder	der vil edel man 
dv solt mich des erlazen	daz ich von dir vernomen han 
Vnde nimet mich immer wnder	sit er din eigen ist 
vnt daz vber vns beide so gewaltech bist 
daz er dir so lange	den cins versêzzen hat 
der diner vebermvete	sold ich von rehte haben rat 
Dv zivhest dich ce hohe	sprach des chveniges wip 
nv wil ich sæhen gerne	op man den dinen lip 
habe ce solhen eren	so man den minen tvt 
di vrowen wrden beide	vil sere zornech gemvt 
Do sprach div vrowe Criemhilt	daz mvz et nv geschæhen 
sit dv mines mannes [328b]	 fvr eigen hast veriehen 
nv mvezzen hivte chiesen	der beide chvenige man 
op ich vor chveniges wibe	cem mvnster tvrre gan 
Dv mvst da hivte schowen	daz ich pin edelvri 
vnt daz min man ist tiwerr danne der dine si 
da mit wil ich selbe	niht bescholten sin 
dv solt noch hinte chiesen	wi div eigene div din 
ce hove ge vor recken	in Bvergenden lant 
ich wil selbe tiwerr wesen	danne iemen habe bechant 
deheine chvneginne	div chron ie her getrvch 
do hvp sich vnder den vrowen	des grozen nides genvch 
Do sprach aber Prvnnhilt	wiltv niht eigen sin 
so mvstv dich scheiden	mit den vrowen din 
von minem ingesinde	da wir cem mvenster gan 
des antwrte Criemhilt	entriwen daz sol sin getan 
Nv chleidete ivch mine meide	sprach Sifrides wip 
ez mvz ane schande	beliben hie min lip 
ir svlt wol lazen schowen	vnd habt ir riche wat 
si mach sin gerne lovgen	des Prvennhilt veriehen hat 
Man moht in lihte raten	si svchten richiv chleit 
da wart vil wol gecieret	manich vrowe vnde meit 
do gi mit ir gesinde	des edelen chveniges wip 
do wart ovch wol gecieret	der schonen Criemhilden wi 
Mit drin vnd vierzech meiden	di brahte si an den Rin 
di trvgen liehte pfelle	geworht in Araby 
svs chomen zv dem mvenster	di meide wolgetan 
ir warten vor dem hvse	alle Sifrides man 
Di livte nam des wnder	wa von daz gesach 
daz man di chveneginne	also gescheiden sach 
daz si bi ein ander	niht giengen alsam ê 
da von wart manigem degene	sit vil sorchlichen we 
Hie stvnt vor dem mvenster	daz Gvntheres wip 
do hete chvrcewile	vil maniges ritters lip 
mit den schoenen vrowen	der si da namen war 
do chom div vrov Criemhilt	mit maniger herlichen schar 
Swaz chleider ie getrvgen	edeler ritter chint 
wider ir gesinde	daz was gar ein wint 
wi was so rich des gvtes	daz drizech kvenige wip 
ez mohten niht erzivgen	daz tæte Criemhilde lip 
Ob iemen wenshen solde	der chvnde niht gesagen 
daz man so richiv chleider	gesæhe ie mere tragen 
also da ce stvnden trvgen	ir meide wolgetan 
wan ce leide Prvennhilde [329a] ez hete Criemhilt verlan 
Zesamne si do chomen	vor dem mvenster wit 
ez tet div hvsvrowe	dvrch einen grozzen nit 
si hiez vil vebelliche	Criemhilde stille gan 
ia sol vor chveniges wibe	nimmer eigen div gegan 
Do sprach div schone Criemhilt	zornech was ir mvt 
chvndestv noch geswigen	daz wære dir gvt 
dv hast geshendet selbe	den dinen schoenen lip 
wi mohte mannes chebse	werden immer chveniges wip 
Wen hastv hie verchebset	sprach do des chveniges wip 
daz tvn ich sprach Criemhilt	den dinen schoenen lip 
den minnet erste Sifrit	der min vil lieber man 
iane was ez niht min brvder	der dir den magetvm an gewan 
War chomen dine sinne	ez was ein arger list 
zwiv lieze dv in minnen	sit er din eigen ist 
ich hoere dich sprach Criemhilt	an alle schvlde chlagen 
entriwen sprach do Prvenhilt	daz wil ich Gvnthere sagen 
Waz mach mir daz gewerren	din vebermvt dich hat betrogen 
dv hast mich ce dieneste	mit rede dich an gezogen 
daz wizze en rehten triwen	ez ist mir immer leit 
getriwer heinliche	sol ich dir wesen vmbereit 
Prvnnhilt do weinende	Criemhilt niht langer lie 
vor des chvniges wibe	inz mvenster si do gie 
mit ir ingesinde	da hvp sich grozer haz 
des wrden ir liehtiv ovgen	vil starche trveb vnd naz 
Swi vil man gote gediende	oder iemen da gesanch 
des dvhte Prvnnhilde	div wile gar ce lanch 
wand ir was vil trvebe	der lip vnd ovch der mvt 
des mvose sit engelten	manich helt chven vnd gvt 
Prvnnhilt gi mit ir vrowen	fver daz mvenster stan 
si gedahte mich mvz Criemhilt	mere horen lan 
des mich so lvte zihet	daz wortreze wip 
hat er siches gervemet	ez get an Sifrides lip 
Nv chom div edele Criemhilt	mit manigem chvenem man 
do sprach div vrowe Prvnnhilt	ir svlt noch stille stan 
ir iahet min ce chebesen	daz svlt ir mich lazen sehen 
mir ist von iwern sprvchen	daz wizzet leide geschehen 
Do sprach div vrowe Criemhilt	ir mohtet mich lazen gan 
ich erzivge ez mit dem golde	daz ich an der hende han [329b] 
daz brahte mir <min> vriedel	do er erste bi <mir> lach 
ni gelebte Prvnnhilt	deheinen leidern tach 
Si sprach diz golt vil edele	daz wart mir verstoln 
vnd ist mich harte lange	vil veble vor verholn 
ich chvmes an ein ende	wer mir ez hat genomen 
di vrowen <waren> beide	in groz vngemvete chomen 
Do sprach aber Criemhilt	ine wils niht wesen diep 
dv mohtes wol gedaht han	vnd were dir ere lip 
ich erzivgez mit dem gvertel	den ich hie vmbe han 
daz ich niht livge	ia wart min Sifrit din man 
Von Ninnive der siden	si den porten trvch 
mit edelem gesteine	ia was er gvt genvch 
do den gesach vorv Prvnnhilt	weinen si began 
<daz> mvse vreischen Gvnther	vnd alle Bvergvnden man 
Do sprach div chvneginne	heizet here gan 
den fvrsten vonme Rine	ich wil in hoeren lan 
wi mich hat gehoenet	siner swester lip 
si sagt hie offenliche	ich si Sifrides wip 
Der kvenich chom mit recken	weinen er do sach 
di sine trivttinne	wi gvetlich er sprach 
