<Nv> laze wir beliben	wi si gefvren hie 
hochgemvte recken	di gefvrn nie 
so rehte herliche	in deheines chveneges lant 
si heten swaz si wolden	beidiv waffen vnt gewant 
Der vogt von dem Rine	chleidete sine man 
sehzech vnd tvsent	als ich vernomen han 
vnd niwen tvsent chnehte	gegen der hohgezit 
di si da heime liezen	di beweinetenz sit 
Do trvch man div gereite	ce Wormez veber den hoff 
do sprach da von Spyre	ein alter bisschoff 
zv der schoenen Vten	vnser frivnde wellent varn 
gegen der hohgezite	got mvez ir ere da bewarn 
Do sprach zv zir chinden	div edel Vte 
ir soldet hie beliben	helde gvte 
mir ist getrovmet hinte	von angestlicher not 
wi allez diz gefvegele	in disem lande wære tot 
Swer sich an trovme wendet	sprach do Hagene 
der enweiz der rehten mære	niht ce sagene 
wenn ez im ze eren	vollechlichen ste 
ich wil daz min herre	ze hove nach vrlovbe ge 
Wir svln gerne riten	in Ecelen lant 
da mach wol dienen chvenegen	gvter <held> hant 
da wir da schowen mvezen	Chriemhilde <hohgezit> 
Hagen riet di reise	iedoch gerov ez in sit 
Er hetez widerraten	want daz Gernot 
mit vngefvegen worten	<im> also missebot 
er mant in Sifrides	vrovn Criemhilden man 
er sprach da von wil Hagene	di grozen hovereise lan 
Do sprach von Tronege Hagene	dvrh vorhte ich nine tvo 
swenne ir gebietet helde	so svlt ir griffen zvo 
ia rit ich mit iv gerne	in Ecelen lant 
sit wart von im verhowen	vil manich helm vnde rant 
Div siff bereitet waren	da was vil manech man 
swaz si chleider heten	div trvch man dar an 
si warn vmmvezech	vor abendens zit 
si hvoben sich von hvse	vil harte vroeliche sit 
Gezelt vnde hvetten	spien man an daz gras 
anderthalp des Rines	do daz geschehen was 
der kvenech bat noch beliben	daz sin vil schoene wip 
si trvote noch des nahtes	den sinen wætlichen lip [365b] 
Pvsvnen floytiern	hvp sich des morgens frv 
dar si varn solden	da bereiten si sich zv 
swer liep heten arme	der trvote frivndes lip 
des schet sit vil mit leide	des kvnech Ecelen wip 
Div chint der schoenen Vten	di heten einen man 
chvene vnd getriwe	do si wolden dan 
do sagt er dem kvenege	tovgen sinen mvt 
er sprach des mvoz ich trvren	daz ir di hovereise tvt 
Er was geheizen Rvmolt	vnd was ein helt cer hant 
er sprach wem welt ir lazen	livte vnd ovch div lant 
daz niemen chan erwenden	iv recken iwern mvt 
div Criemhilden mære	nie gedvhten mich gvt 
Daz lant si dir bevolhen	vnt min kindelin 
vnt diene wol den vrowen	daz ist der wille min 
swen dv sehest weinen	dem troeste sinen lip 
iane getvt vns nimmer	des kvenech Eceln wip 
Div ross bereitet waren	den kvenegen vnd ir man 
mit minnechlichem chvessen	schiet vil maniger dan 
dem in hohem mvte	lebte da der lip 
daz mvose sit beweinen	vil manich wætlichez wip 
Do man di snellen recken	cen rossen sah gan 
do chos man vil der vrowen	trvrechlichen stan 
daz ir vil langenz scheiden	sagt in vil wol ir mvt 
vf grozen schaden ce chomene	daz herce niemen sanfte tvt 
Di snellen Bvergonden	sich vz hvoben 
do wart in dem lande	ein michel voben 
beidenthalp der berge	weinte wip vnd man 
swi dort ir volch getæte	si fvren vroeliche dan 
Di Nibelvnges helde	chomen mit in dan 
in tvsent halspergen	ce hvs si heten lan 
vil manige schoene vrowen	di gesahen si nimmer me 
di Sifrides wnden	taten Criemhilde we 
Do sicheten si ir reise	gegen dem <Mevne> dan 
vf dvrch Oster vranchen	di Gventheres man 
dar leite si do Hagene	dem was ez wol bechant 
ir marschalk was Danchwart	der helt von Bvergonden lant 
Do si von <Ostervranchen>	gegen Salvelde ritten 
do mohte man si chiesen	an herlichen siten 
di fversten vnt ir mage	di helde lobesam 
an dem [366a] zwelften morgen	der kvenich an di Tvnowe quam 
Do reit von Tronege <Hagen>	zaller vorderost 
er was den Nibelvngen	ein helflicher trost 
do derbeizte der degen chvene	nider vf den sant 
sin ross er harte balde	zv zeinem bovme gebant 
Daz wazzer was engozen	div sciff verborgen 
ez ergie den Nibelvngen	ze grozen sorgen 
wi si chomen vebere	der wach was in ze breit 
do erbeizte zv der erden	vil manich ritter gemeit 
Leide sprach do Hagene	mach dir wol hie geschehen 
voget von dem Rine	nv maht dv selbe sehen 
daz wazer ist engozen	vil starch ist im sin flvot 
ia wæne wir verliesen	noch hivte hie manigen helt gvt 
Waz wizet ir mir Hagene	sprach der kvenech her 
dvrh iwer selbes tvgende	vntroestet vns niht mer 
den fvrt svlt ir vns svchen	hinveber an daz lant 
daz wir von hinnen bringen	beidiv ross vnt ovch gewant 
Ian ist mir sprach Hagene	min leben niht so leit 
daz ich mich welle ertrenchen	in disen venden breit 
ê sol von minen handen	ersterben manich man 
in Ecelen landen	des ich vil gvten willen han 
Belibet bi dem wazer	ir stolzen ritter gvt 
ich wil di vergen svchen	selbe bi der flvot 
di vns bringen vebere	in Gelfrates lant 
do nam der starche Hagene	sinen gvten schildes rant 
Er was vil wol gewaffent	den schilt er dannen trvch 
sinen helm vf gebvnden	lieht was er genvch 
do trvg er ob der brvenne	ein waffen also breit 
daz ce beden eken	harte vreislichen sneit 
