Bloedelines> recken	di waren alle gar 
mit tvsent halspergen	hvben si sich dar 
da Danchwart mit den knehten	ob dem thisse saz 
da hvb sich vnder helden	der aller grozeste haz 
Also der herre Bloedelin	fver di thisse gie 
Danchwart der marschalch	in vlizechliche enpfie 
willechomen her ce hvse	<min> her Bloedelin 
ia wndert mich der mære	waz sol disiv rede sin 
Iane dverfet ir mich niht grvezen	so sprach Blodelin 
wan diz chomen daz mine	daz mvz din ende sin 
dvrch Hagenen dinen brvder	der Sifriden slvch 
des engiltest du hi cen Hivnen [387b]	 vnd <ander> degene genvch 
Neina herre Bloedelin	so sprach do Danchwart 
so moeht vns wol balde riwen	disiv hovevart 
ich was <ein> wenich kindelin	do Sifrit vlos den lip 
ine weiz niht waz mir wizzet	des kvenech Eceln wip 
Iane weiz ich dir der mære	niht ce sagene 
ez taten dine mage	Gventher vnde Hagene 
nv wert ivch vil ellenden	ir chvennet niht genesen 
ir mvezet mit dem tode	pfant daz Criemhilde wesen 
Sone welt ir niht erwinden	so sprach Danchwart 
so riwet mich min vlehen	daz wære baz gespart 
der snelle degen chvene	von dem thisse spranch 
er zoch ein scharpfez waffen	daz was michel vnde lanch 
Do slvch er Blodeline	einen swinden swertes slach 
daz im daz hovbet schiere	vor den fvezen gelach 
daz si din morgengabe	sprach Danchwart der degen 
zv Nvdvnges brvete	der dv mit minnen woldest pflegen 
Man mach si morgen mehelen	einem anderm man 
wil er di brvtmiete	dem wirt alsam getan 
ein vil getriwer Hivne	het im daz geseit 
daz im div chveneginne	riet so groziv leit 
Do sahen Bloedelines man	ir herre lach erslagen 
done wolden si den gesten	niht langer daz vertragen 
mit vf erbvrten swerten	si sprvngen fver div chint 
in grimmigem mvote	daz gerav vil manigen sint 
Vil lvte rief do Danchwart	daz gesinde allez an 
ir seht wol edeln chnehte	wi ez wil vmbe gan 
nv wert ivch vil ellenden	deiswar des gat vns not 
swi vns div edele Crimhilt	so rehte gvetlich enbot 
Di niht swert enheten	di reichten fver di banch 
vnde hvben von den fvezen	vil manegen shamel lanch 
der Bvrgonden knehte	in wolden niht vertragen 
da wart von swæren stvelen	dvrch helme bveln vil geslagen 
Wi grimme sich do werten	div ellendn [388a] chint 
si triben vz dem hvse	di gevaffenten sint 
doch beleip ir tot dar inne	fvnf hvndert oder baz 
do was daz ingesinde	von blvte rot vnde naz 
Disiv starchen mære	wrden dan geseit 
den Eceln recken	ez was in grimme leit 
daz erslagen wære	Blodel vnd sine man 
daz het Hagen brvder	mit den knehten getan 
E ez div chvneginne erfvende	di Hivnen dvrch ir haz 
der garte sich zwei tvsent	oder dannoch baz 
si giengen zv den knehten	daz mvs et also wesen 
vnde liezen des gesindes	ninder einen genesen 
Di vngetriwen brahten	fver das hvs ein michel her 
di ellenden knehte	di stvndne wol ce wer 
waz half ir baldez ellen	si mvsen ligen tot 
dar nach in chvrcen stvnden	hvb sich ein vreislichiv not 
Hi mveget ir hoeren wnder	bi vngefvoge sagen 
nivn tvsent knehte	di lagen tot erslagen 
dar veber ritter zwelfe	der Danchwartes man 
man sah in alterseine	noch bi den vianden stan 
Der schal der was geswiftet	der doz der was gelegen 
do blichte veber ahsel	Danchwart der degen 
er sprah owe der frivnde	di ich verlorn han 
nv mvz ich leider eine	bi minen fianden stan 
Div swert genote vielen	vf sin eines lip 
daz mvse sit beweinen	vil maneges heldes wip 
den <schilt> den rvcht er hoher	den vezel nider baz 
do frvmt er vil der ringe	mit blvote vliezende naz 
So we mir dirre leide	sprach Aldrianes chint 
nv wichet Hivnen reckn	ir lat mich an den wint 
daz der lvft erchvele	mich stvrmen mveden man 
do sah man den rechen	vil hart herliche gan 
Also der strites mvede	vz dem hvse spranch 
waz iteniwer swerte	vf sinem helm erchlanch 
di niht gesehen heten	waz vnders tet sin hant [388b] 
