Also der chvene Danchwart	vnder di tver getrat 
daz Eceln gesinde	er hoher wichen bat 
mit blvte was bervnnen	allez sin gewant 
ein vil starchez waffen	daz trvg er bloz an siner hant 
Vil lvt rief do Danchwart	zv dem degene 
ir sitzet al ce lange	brvder Hagene 
iv vnde got von himele	chlag ich vnser not 
ritter vnde knehte sint in den herbergen tot 
Er rief im hin engegene	wer hat daz getan 
daz het der herre Blodelin	vnde sine man 
ovch hat ers ser engolten	daz wil ich iv sagen 
ich han mit minen handen	im sin hovbet abe geslagen 
Daz ist ein schade chleine	sprach aber Hagene 
da man saget mære	von einem degene 
ob er <von> rechen henden	verlivset sinen lip 
in svln deste ringer	chlagen wætlichiv wip 
Nv saget mir brvder Danchwart	wi sit ir so rot 
ich wene ir von vinden	lidet groze not 
ist er inder ime lande	derz iv hat getan 
in en nert der vbel tivfel	ez mvz im an sin leben gan 
Dv sihest mich wol gesvnden	min wat ist blvtes naz 
von anderr manne wnden	ist mir geschehen daz 
der ich also manegen	hivte han erslagen 
ob iches swern solde	ine chvndiz nimmer gesagen 
Er sprach brvder Danchwart	<so> hvetet vns der tveer 
vnde lat der Hivnen einen	chomen niht der fver 
ich wil reden mit den recken	als vns des twinget not 
vnser ingesinde	lit vor in vnverdienet tot [389b] 
Sol ich sin chamerære	sprach der chvene man 
also richen chvenegen	ich gedienen chan 
so pflige ich der stiegen	nach den eren min 
den Criemhilde degenen	chvnde leider niht gesin 
Mich nimt des michel wnder	sprach aber Hagene 
waz nv hinne rvnen	di Hivnen degene 
si wæn liht des enbæren	der an der tvr da stat 
vnt div hovemære	gesaget den Bvergonden hat 
Ich han vernomen lange	von Criemhilde sagen 
daz si ir herceleide	wold niht vertragen 
nv trinchen wir di minne	vnde gelten skveneges win 
der ivnge vogt der Hivnen	der mvz der erste sin 
Do slvch daz chint Ortlieben	Hagen der helt gvt 
daz im gegen der hende	ame swerte vloz daz blvt 
vnt daz dem chvenege	daz hovbet spranch in di shoz 
do hvb sich vnder degenen	ein mort vil grimmech vnde groz 
Dar nach slvg er den magtzogen	einen swinden slach 
mit beiden sinen henden	der des chindes pflach 
daz im daz hovbet schiere	vor dem thisshe nider lach 
ez was ein iamerliches lon	daz er dem magtzogen wach 
Er sach vor Eceln thisse	einen spilman 
