<Do> hort man allenthalben	iamer also groz 
daz palas vnd tvrne	von dem wffe erdoz 
do hort ovch von Berne	ein Dieteriches man 
dvrch disiv starchen mære	wi balde er gahen began 
Do sprach er zv dem fversten	hoert min her Dieterich 
swaz ich noh her gelebt han	so rehte vnmvegelich 
gehort ich chlage ni mere	als ich nv han vernomen 
ich wæn der chvenech Ecel	ist sebe zv dem schaden chomen 
Wi moehtens anders alle	haben solhen mvt 
der chvenech oder Criemhilt	ir einez daz ist tot 
von den chvenen gesten	dvrh ir nit gelegen 
ez weinet vngefvge	vil manech zierlicher degen 
Do sprach der helt von Berne	mine vil lieben man 
nv gahet niht ce sere	swaz hi hant getan [406b] 
di ellenden recken	des gat in michel not 
vnde lat des geniezen	daz ich in minen fride enbot 
Do sprach <der> chvene Wolfhart	ich wil dar gan 
vnde wil vragen der mære	waz si hant getan 
vnd wilz iv sagen danne	vil lieber herre min 
als ich ez dort ervinde	waz div chlage mvge sin 
Do sprach der herre Dieterich	swa man zorns sich versiht 
ob vngefvgiv vrage	danne da gesrhiht 
daz betrvebet lihte	den gvten recken ir vil hohen mvt 
iane wil ich niht den Wolfhart	daz ir di vrage gein in tvt 
Do bat er Helpfrichen	vil balde dar gan 
vnd hiez in daz ervinden	an Eceln man 
oder an den gesten selben	waz wære da geshehen 
done het man von livten	so grozen iamer ni gesehen 
Der bote begonde vragen	waz ist hi getan 
do sprach einer drvnder	da ist vil gar cergan 
swaz wir vrevden heten	in der Hivnen lant 
hi lit erslagen Rvedeger	von der Bvrgonden hant 
Di mit im dar in chomen	der ist einer niht genesen 
done chonde Helpfriche	nimmer leider wesen 
iane gesaget er mære	so rehte vngerne nie 
der bote zv Dieteriche	vil sere weinende gie 
Waz habt ir vns erfvnden	sprach do Dieterich 
wi weinet ir so sere	degen Helpfrich 
do sprach der edele recke	ich mag wol balde chlagen 
den gvten Rvedgeren	hant di Bvrgonde erslagen 
Do sprach der helt von Berne	daz en sol niht wellen got 
daz wære ein starchiv rache	vnde ovch des tivels spot 
wa mit het Rvedger	an in daz versolt 
ia ist mir daz wol chvende	er ist den ellenden holt 
des antwrte Wolfhart	vnde [407a] heten siz getan 
so solt ez in allen	an ir lebn gan 
ob wirz in vertrvegen	des wære wir geschant 
ia hat vns vil gedienet	des gvten Rvedgeres hant 
Der vogt der Amelvnge	hiez ez ervinden baz 
vil harte snellechlice	er in <ein> venster saz 
do bat er Hildebranden	zv den gesten gan 
daz er an in erfvende	waz da wære getan 
