<E> kvneginne	gesezen vber se 
ir geliche enheine	man wesse ninder me 
div was vnmazen scoene	vil michel was ir chraft 
si scoz mit snelln degenen	vmb minne den scaft 
Den stein den warf si verre	dar nach si witen spranch 
swer ir minne gerte	der mvose ane wanch 
driv spil an gewinnen	der frovwen wol geboren 
gebrast im an dem einem	er hete daz hovbet sin verloren 
Des het div ivnchfrovwe	vnmazen vil getan 
daz gehorte bi dem Rine	ein riter wolgetan 
der wande sine sinne	an daz scoene wip 
dar vmbe mvosen helede	sit verliesen den lip 
Do sprach der vogt von Rine	ich wil nider an den se 
hin ce Prvnhilde	swi ez mir erge 
ich wil dvrch ir minne	wagen minen lip 
den wil ich verliesen	sine werde min wip 
Daz wil ich wider raten	sprach do Sivrit 
ia hat div kvneginne	so vreisliche sit 
swer vmb ir minne wirbet	daz ez im hohe stat 
des mvget ir der reise	habn wærlichen rat 
So wil <ih> iv daz raten	sprach do Hagene 
ir bittet Sivride	mit iv ce tragene 
di vil starchn swære	daz ist nv min rat 
sit im daz ist so chvendech	wi ez vm Prvenhilde stat 
Er sprach wil dv mir helfen	edel Sivrit 
werbn die minnechlichen	tvostv des ich dich bit 
vn– wirt mir ceime trvote	<daz> minnechliche wip 
ich wil dvrch dinen willen	wagen ere vn– lip 
<· es> antwrte Sivrit	der Sigmvndes svn 
gistv mir dine swester	so wil ich ez tv^n 
di scoenen Chrimhilde	ein kvneginne her 
so ger ich deheines lônes	nach minen arbeiten mer 
Daz lob ich sprach do Gvnther	Sivrit an dine hant 
vn– chvmt div scoene Prvenhilt	her in dizze lant 
so wil ich dir ce wibe	mine swester gebn 
so mahtv mit der scoenen	immer vroeliche lebn 
Des sworen si do eide	di rechen vil her 
<des> wart ir arbeiten	verre deste mer 
ê daz si di frovwen	brahten an den Rin 
des mvsen di vil chvenen	sit in grozen sorgen sin 
<Sivrit> der mvose fveren	di kappen mit im dan 
di der helt vil chvene	mit sorgen gewan 
ab eime getwerge	daz hiez Albrich 
sich bereiten zvo der verte	di rechen chven vnd rich 
Also der starche Sivrit	di Tarnkappen trvoch 
so het er dar inne	chrefte genvoch 
wol zwelf manne sterche	zvo sin selbes lip 
er warp mit grozen listen	daz vil herliche wip [305b] 
Ovch was div selbe Tarnhv^t	also getan 
