<An> dem vierden morgen	zwen vn– drizzech man
sach man ze hove riten	do wart ez kunt getan
Gunther dem vil richen	im wære widerseit
von lvoge erstunden frowen	div aller grozisten leit
Vrlovp si gewnnen	si solden fvr gao
vn– iahen daz si wæren	die Livdegers man
den ê da het betwngen	div Sivrides hant
vn– in ze gisel brahte	in daz Guntheres lant
Die boten er do grvzte	vn– hiez si sizzen gan
ir einer sprach dar vnder	herre	lat uns stan
vnz wir sagn div mære	di iv enboten sint
ia habt ir ze vinde	daz wizzet	manich mvter kint
Iv widersagt <Livdegast>	vn– Livdeger
den ir da wilen tatent	div gremlichen ser
die wellent zvo ziv riten	mit her in dizze lant
do begunde zvrnen Gunther	als ob ez wære im vnbechant
Man hiez die trvgenære	zen herbergen varn
wie chunde sich Sivrit	do da vor bewarn
er oder ander iemen	daz si trugen an
daz wart sider in selben	ze grozem leide getan
Der kvnic mit sinen frivnden	rvnende gie
Hagene von Tronege	in nie gerowen lie
noch heten ez gescheiden	gnvoge skuniges man
done wolde Hagene	niedes [34r]rates abe gan
Eines tages Sivrit	si rvonende vant
do begunde vragen	der helt von Niderlant
wie get so trvrekliche	der kunic un– sine man
daz sol ich immer rechen	hat im iemen iht getan
Do sprach der kunic Gunther	mir ist von schulden leit
Livdegast un– Livdeger	di hant mir widerseit
si wellent nv offenliche	riten in min lant
do sprach der degen chuene	daz sol div Sivrides hant
wol nach iwern eren	mit vlize vnderstan
ia getvn ich den degenen	als ich han ê getan
ich gelege in wste	ir burge vn– ovch ir lant
ê daz ich erwinde	des si min hvobet iwer pfant
Ir un– iwer rechen	ir sult hie bestan
vn– lat mich zvo zin riten	mit den vn– ich hie han
daz ich iv gerne diene	daz laz ich ivch gesehn
do begunde im Gunther	darvmbe groz genade iehn
Do schicten si die reise	mit den knehten dan
Sivride un– sinen degenen	ze sehn ez was getan
do hiez er sich bereiten	die von Niderlant
die vzerwelten degene	die svhten stritlich gewant
Do sprach der herre Sifrit	min vater Sigemunt
ir svlt hie beliben	ich chvom in kurcer stvnt
git uns got gelucke	her wider an den Rin
ir sult bi dem kunige	hie vil vroliche sin
Div zeichen si an bunden	also si wolden dan
do waren da genvge	Guntheres man
dine wessen niht der mære	wa von ez was geschehn
man mohte groz gesinde	do bi Sivride sehn
Ir helm vn– ovch ir pruenne	si bvnden vf div march
do wolde von dem lande	vil manich reche starch
do gie von Tronege Hagene	da er Chriemh' vant
vn– bat im gebn vrlovp	si wolden rvmen daz lant
So wol mich	sprach do Chriemh'	daz ich ie gewan den man
der minen lieben frivnden	so tar vor gestan
also min herre Sivrit	tvot den friunden min
des mvoz ich hohes mvtes	sprach div kuniginne	sin
Vil lieber frivnt Hagene	nv gedenchet an daz
daz ich iv gerne diene	vn– nie noch wart gehaz
des <lazet> mich geniezen	an minen lieben man
ern sol des niht engelten	hab ich Prunh' iht getan
Daz hat mih sit gerowen	sprach	daz edel wip
ovch hat er so zerblowen	dar vmbe minen lip
daz ich ie beswarte	ir mit rede den mvot
daz hat vil wol errochen	der helt chune vn– gvot
Ir werdet wol gefrivnde	her nach disen tagen
Chriemh'	liebiv frowe	ia sult ir mir sagen
wie ich iv mvge gedienen	an Sifride iwerm man
daz tvon ich	frowe	gerne	baz ihs niemen gan
Ich wær alle sorge	sprach daz edel wip
daz im niemen næme	in stvrme sinen lip
ob er niht volgen wolde	siner vbermvot
so wær ovch immer sicher	der helt chuene vn– gvot
Do sprach aber Hagene	frowe	habt ir wan
ob man in mvge [34v]versenden	ir svlt mich wizzen lan
mit wie getanen listen	ich daz svel vnderstan
ich wil im zehvote	immer riten vn– gan
Si sprach	dv bist min mag	sam bin ich der din
ich bevilhe dir mit triwen	den holden wine min
daz dv mir behvtest	den minen lieben man
si seit im kundiv mære	daz bezzer wære verlan
Si sprach min man ist chvene	dar zv starch genvoch
do er den lintrachen	an dem berge slvoch
do batte sich in dem blvote	der reche vil gemeit
da von in sit in stvremen	nie dehein wafen versneit
Idoch so han ich sorge	swenner in stvrme stat
vn– vil der gereschvzze	von rechen handen gat
daz ich da verliese	den minen lieben man
hey waz ich grozzer leide	dicke vmbe minnen frivnt han
Ich meldez vf genade	vil lieber frivnt	dir
daz dv dine triwe	behaldest ane mir
da man da mach verhowen	den minen lieben man
daz laz ich dich wol hoere	dest vf genade getan
Do von <des> trachen wnden	vloz daz heize blvot
vn– sich dar inne badete	der chuene reche gvot
do gehafte im zwischen herten	ein lindenblat vil breit
da mac man in verhowen	des ist mir sorgen vil bereit
Do sprach der ungetriwe	vf daz sin gewant
nêt ir ein kleinez zeichen	mit iwer selbes hant
wa ich in svle behvten	daz ich daz mvge verstan
si wanden helt do vristen	ez was vf sinen tot getan
