Nv lazzen das belaiben	wie si gebaren bie
hoch gemuter rekchen	die gefuoren nie
so rechte herleichn–	in dhaines chünigs lant
si hetten was si wolden	dar zu waffen vn– gewant
Der vogt von dem Rein	chlaidet sein man
sechtzig vnd tawsent	als ich vernomen han
vnd newne tawsent chnechte	gen der hochtzeit
die si dahaime liezzen	die bewainten ez seit
Do truog man die geraite	ze Wuormtz vbir den hof
da sprach do von Speier	ain alter bischoff
zu der alten chü[97v]niginne	vnser frewnt die wellent varen
hin zer hochtzeite	got muzze ir er wol bewaren
Do sprach zu ir	du edel Vte
ir möchte noch beleiben	holde guote
ich sach heint in treume	vil angestlichhe not
wie alles daz gefügel	in disem lande lait tot
Swer gelawbet trawmen	sprach do Hagene
der enwais der rechten maere	nicht zu sagene
wenne ez im nach dem ern	vollichen ste
ja wil ich daz meine herre	ze houe nach vrlaup ge
Wir sullen gern reiten	in Etzln lant
so mag wol chünigen dienen	guter helde hant
da wir do müzzen schawen	Chrimhilden hochtzeit
Hagen riet die raise	iedoch gerawe ez in seit
Ez het ez wider rate	newr das Gernot
mit vns efügen sprechen	im sere missebot
er mant in Seifrides	frawn Chrimhilden man
er sprach	do vorz wil Hagen	die grozzen houe raisen lan
Do sprach der von Tronge	[98r]durch vorcht ez nieman tu
swenne ir	helde	wellet	so sult ir greiffen zu
ia reite ich mit ew	in Etzln lant
seit wart von im verhawen	manig helm vnd rant
Dew scheff beraitet waren	ze varen vbir Rein
swas si chlaider beten	die trug man dar ein
si waren vil vnmüssig	vor abendes zeit
doch chomen si von haus	vil harte froleich seit
Gezelt vnd hütten	si spinen an daz gras
an der halb des Reines	do daz geschehen was
den chünig pat noch beleibn–	sein vil schones weip
si traute noch des nachtz	seinen waetlichn– leip
Floiten vn– videln	hup si des morgens fru
da si da hin musten	do griffen si do zu
swer hete lieb an arme	der traute frewdes leip
des schiet seit mit laide	des chünig Etzln weip
Ruomolt der chuochenmaister	ein vil chüne man
der nan sein herrn	haimleich dan
do sagt er dem chünig	taugen seinen muot
er sprach	des muozz [98v]ich trawren	daz ir die houe reizze tut
Ich <han> ewch vil gewarent	vnd auch genug gemant
er sprach	wem welt ir lazzen	leute vnd lant
daz niemant chan erwenden	ew rekchn– tumbn– mut
dew Chrimhilde maere	nie gedauchtn– si mich gut
Daz lant sei dir enpholhn–	vnd andern meinen man
die ich haime lazze	vnd alles daz ich han
mein chint vnd meine gesinde	vnd meiner frawen leip
ia getut vns nimmer laide	dez chünig Etzln weip
E daz si schieden danne	der chunig zu rate gie
mit seinen hochsten mannen	vnberichtet er nicht lie
lant vnd burge	die der solden pflegen
den liez er ze huote	vil mangen auzerwelten degen
Die ros beraitet waren	der chunigen vn– ir man
mit minecleichn– chüssen	schiede vil manger dan
dem in hohn– muote	lept do der leip
daz must seit bewainen	vil manich waetleich weip
Wuoffen vnd [99r]wainen	des hort man genug
ir chint die chüniginne	zu dem chünig auff armen trug
wie welt ir im verwaisen	vnser paider leip
ir solt durch vns belaibn–	so sait daz iamerhafte weip
Ir sult nicht	fraw	wainen	durch den willen meine
ir sult in hoben muote	hie haime an angst sein
wir chormen schir wider	mit frewden wol gesunt
si schiedn– minnicleichn–	von ir frivndn– sa ze stunt
Do man die snellen rekchn–	sach zu den rossen gan
do chost man wainende	vil mange frawen stan
daz ir vil langes scheiden	sagt in wol ir mut
auff grozzen schaden ze chomene	daz hertzen niemant sanfte tut
Die snellen Borgonden	sich an hubn–
da wart in dem lande	ein michel üben
paidentbalbn– des Raines	wainten weip vnd man
swie dort ir volche getarte	si furen fröleich dann
In der selben tzeiten	[99v]was der gelaube nach chrankch
doch fruomtens ainen capplan	der in messe sanch
der <chome> gesunder wider	wan der vil chaume entran
die andern musten alle	da zen Heunen bestan
Do schikchten si ir raise gen den Nevnen dan
auf durch Osterfrankchn–	der dreier chünig man
dar laite si do Hagen	dem was ez wol bechant
Danchwart was marsalch	der helt von Burgunden lant
Do si durch Swanvelde	riten von Osterffranchen
do mocht man si chiesen	an herleiehen siten
di fürsten vnd er ir mage	die helde lobesam
an dern tzwelften morgen	der chunig ze Tunawe quam
Do rait von Tronge Hagen	ze aller foderst
