<Ez> heten die ellenden	wider morgen gvot getan
wine der Gotelinde	chom ze hove gegan
do sah er beidenthalben	div vngefvgen ser
daz weinte innechliche	der <getriwe> Rvdeger
Owe	sprach der reche	deich ie den lip gewan
daz disen starchen iamer	chan niemen vnderstan
swie gern ihz vriden wolde	der kvnic entvot es niht
wander der sinen leide	ie mere vn– mere geschiht
Do sande an Dietrichen	der gvte Rvdeger
ob siz noch chunden wenden	an den kvnigen her
do enbot im der von Berne	wer moht ez vnderstan
ezn wil der kunic Ezele	scheiden niemene lan
Do sah ein Hvnen reche	Rvdegeren stan
mit weinenden ovgen	vn– het des vil getan
do sprach zer kvniginne	nv seht ir wie er stat
der doch gewalt den meisten	bi iv vn– Ezeln hat
vn– dem ez allez dienet	livt vn– ovch div lant
wie ist so vil der bvrge	vn– der erbe an in gewant
der er von dem kvnige	so vil gehaben mac
er geslvc in disen stvrmen	noch nie <lobelichen> slac
Mich dvnchet ern rvche	wie ez hie vmbe gat
daz et er den vollen	nach sime willen hat
man giht im	er si chvener	danne iemen mvge sin
daz ist in disen sorgen	worden boeseliche schin
Mit trvrigem mvote	der vil getriwer man
den er daz reden horte	der helt der blicht in an
er daht	dv solt ez arnen	dv gihest	ich si verzaget	[79v]
dv hast div dinen mære	ze hove ze lvte gesaget
Die fvost begvnder twingen	do lief er in an
er slvoc so chreftechliche	den hvnischen man
daz er im vor den fvzen	lac vil schiere tot
do was aber gemeret	des kvnic Ezeln not
Fvrder	zage bose	sprach do Rvdeger
ich han doch genvoge	leit vn– ser
daz ich hie niht enstrite	zwiv wizzestv mir daz
ia wær ih den gesten	grozlichen haz
vn– allez daz ich mohte	daz het ich in getan
niwan daz ich die degene	her gefvret han
ich was ir geleitte	in mines herren lan
des ensol mit in niht striten	min vil ellendes hant
Do sprach zem marcgraven	Ezel der kunec her
wie habt ir vns geholfen	vil edel Rvdeger
wan wir so vil der veigen	hie ze lande han
wir bedorften ir niht mere	ir habt vil vbele getan
