Sifrit der vil chvne	dannen gie zehant
siner tarnkappen	da er daz schiffil vant
dar an so stvnt vil tovgen	daz Sigemvndes chint
er fvrtez also balde	sam ob ez wæte der wint
Der vergen sach doch niemen	wie serez schiffel vloz
von Sifrides chreften	di warn also groz
man wande daz iz fvrte	ein svnder starcher wint
nein	ez fvrte Sivrit	der schonen Sigelinde kint
Bi des tages cite	vn– in der einen naht
chom er zeinem lande	mit groezlicher maht
daz hiez zen Nybelunge	vn– wæren sine man
lant vn– burge	daz was im allez vndertan
Der herre fvr aleine	vf einen wert vil breit
daz schiff gebant vil balde	der ritter vil gemeit
do gie er zeinem berge	da ein bvrch stvont
er svhte herberge	so noch die reismveden tvont
Do chome er fvr die porten	verslozzen im div stvnt
ia hvten si <ir> eren	so noch die lvten tvont
anz tor begvnde bozen	der vnchunde man
daz was vil wol behvetet	do vant er inrethaben dran
einen vngefuogen	der der porten pflach
bi dem sin gewæffen	zallen citen lach
der sprach	wer ist der bozet	vzen an daz tor
do wandelt sine stimme	der chvne Sivrit da vor
Er sprach	ich bin ein reche	entsliezet <vf> die tver
mir mvz eteslicher volgen	noch hivte der fver
der gerne sanfte læge	vnde hete sinen gemach
do zvrnder portenære	do daz Sifrit gesprach
Nv het der rise chuone	sin wæfen an sich genomen
sin helm vf sin hovbet	was im vil schiere chomen
den schilt er balde zvchte	daz tor er vf do swanch
wie rehte gremliche	er gegen Sivride spranch
Wie er getorste wechen	so manigen chvenen man
da wrde slege swinde	von siner hant getan
do begunde im schirmen	der herliche gast
do schvof der portenære	daz sin schilt gespenge brast
von einer isen stangen	des gie dem helde not
ein teil begunde fvrhten	Siurit den tot
do der portenære	so tobelichen slvoch
dar vmbe was im wæge	sin herre Sifrit genvoch
Si striten also sere	daz al div bvrch erdoz
wande ir beider sterche	was vnmazen groz
er twanc den portenære	daz er in <sit> gebant
do erschul[19v]len disiv mære	vber al der Nibelunge lant
Do hort daz grimme striten	verre dvrch den berch
Albrich der vil starche	ein chvne getwerch
er wart gewaffent balde	do lief er da er vant
disen gast vil edelen	der was in beiden vil vnbechant
Albrich was vil grimme	dar zvo starch genvoch
helm vn– ringe	er an dem libe trvoch
vn– eine geisel swêre	von golde an siner hant
do lief er harte sere	da er Sivriden vant
Siben knopfe sware	die hiengen vor daran
da mit er von den hende	den schilt dem <kunen> man
slvoch so bitterlichen	daz im des vil zebrast
des chom in groze sorge	do der wætlich gast
Den scherm er von der hende	gar zebrochen swanch
