!	AVD;NA;CARDA;ADJA;APPR;--;DIA;FM
!?	VMFIN;PPER;PG;VAFIN;VVPP;VVFIN
%.kleidet	VVIMP
*fmagister	NA
*lezzeste	AVD
*sire	NA
--	PW;CARDA;ADJD;DIS;ADJA;CARDS;KON;VVIMP;CARDN;AVD-KO*;$_;VMFIN;KOUS;DPOSA;NA;AVD;ADJS;DIN;VVFIN;APPR;KO*;DIA;VVINF;VVPP;PTKNEG;NE;FM;ITJ;ADJN;AVW;--
13	FM
17	FM
1gienc	VVIMP
2	FM
21	FM
3	FM
4	FM
7	FM
8	FM
9putare	FM
Aache	NE
Aagremuntîn	NE
Aaron	NE
Aarone	NE
Aarones	NE
Aaronis	NE
Abane	NE
Abanes	NE
Abbach	NE
Abdenago	NE
Abdirus	NE
Abdon	FM
Abel	NE
Abele	NE
Abelen	NE
Abeles	NE
Abeln	NE
Abenberc	NE
Abensberc	NE
Abensere	NA
Abensære	NA
Abentberc	NE
Abia	NE
Abiam	NE
Abiatar	NE
Abiathar	NE
Abibon	NE
Abidan	NE
Abiezar	NE
Abigea	NE
Abilene	NE
Abimelech	NE
Abira	NE
Abiram	NE
Abiron	NE
Abisac	NE
Abiut	NE
Abneren	NE
Abra	NE
Abraham	NE
Abrahame	NE
Abrahamen	NE
Abrahames	NE
Abrahe	NE
Abrahê	NE
Abram	NE
Absalon	NE
Absalone	NE
Absalonem	NE
Absalones	NE
Absaloni	NE
Absolone	NE
Absterne	NE
Abyron	NE
Abysay	NE
Abysse	NE
Abêle	NE
Acastis	NE
Acastum	NE
Acastus	NE
Acastô	NE
Accommodum	NE
Accommodus	NE
Accommodô	NE
Achaia	NE
Achaiam	NE;FM
Achais	NE
Achamas	NE
Achatius	NE
Achaz	NE
Achdorf	NE
Achdorfær	NA
Ache	NE
Acheldemach	NE
Achen	NE
Achene	NE
Acheron	NE
Acherontia	NE
Achille	NE
Achillem	NE
Achillen	NE
Achilles	NE
Achillese	NE
Achilleus	NE
Achilli	NE
Achillis	NE
Achim	NE
Achior	NE
Achreine	--
Aciâ	NE
Ackemac	NE
Adalrôt	NE
Adam	NE
Adames	NE
Addi	NE
Adelber	NE
Adelbern	NE
Adelbolt	NE
Adelbreht	NE
Adelgêr	NE
Adelgêre	NE
Adelgôze	NE
Adelhart	NE
Adelheide	NE
Adelheit	NE
Adelheite	NE
Adelheiten	NE
Adelnhûsen	NE
Adeodatum	NE
Admont	NE
Adolv	NE
Adolve	NE
Adolves	NE
Adonai	NE
Adonato	NE
Adonay	NE
Adonei	NE
Adonias	NE
Adoniase	NE
Adonibesech	NE
Adonis	NE
Adrastus	NE
Adrianus	NE
Adrianô	NE
Adriaticum	NE
Adriânes	NE
Adromacha	NE
Adromacham	NE
Adâm	NE
Adâme	NE
Adâmen	NE
Adâmes	NE
Adân	NE
Aegeas	NE
Aegidie	NE
Aegidius	NE
Aegyptii	NA
Aegypto	NE
Aegyptum	NE
Aegyptô	NE
Aemiliî	NE
Aethiopiam	NE
Aetium	NE
Aetius	NE
Aetiô	NE
Afen	NE
Affanes	NE
Affenzagel	NE
Afra	NE
Afrae	NE
Afram	NE
Afren	NE
Africa	NE
Africam	NE
Afrika	NE
Afrikân	NA
Afrikære	NA
Afrn	NE
Agamemno	NE
Agapae	NE
Agapitum	NE
Agapitus	NE
Agapitî	NE
Agar	NE
Agarenes	NE
Agarraîn	NE
Agatae	NE
Agatha	NE
Agathen	NE
Agest	NE
Aggenbach	NE
Agne	NE
Agnen	NE
Agnes	NE
Agnese	NE
Agnesen	NE
Agnet	NE
Agneta	NE
Agnete	NE
Agneten	NE
Agnetis	NE
Agnise	NE
Agnê	NE
Agnête	NE
Agnêten	NE
Agomennon	NE
Agomennone	NE
Agomennonis	NE
Agomennonê	NE
Agomennonî	NE
Agon	NE
Agravens	NE
Agrentîn	NE
Agreste	NE
Agrestê	NE
Agrippa	NE
Agrippen	NE
Agrippina	NE
Ahap	NE
Aheim	NE
Ahimelech	NE
Ahtelsbach	NE
Aindorf	NE
Ainmirat	NE
Aiune	NE
Aiuno	NE
Aiunoe	NE
Ajacem	NE
Ajacis	NE
Ajacê	NE
Ajax	NE
Ajaxe	NE
Ajaxen	NE
Ajâze	NE
Ajûne	NE
Aken	NE
Akers	NE
Alagrevîe	NE
Alan	NE
Alandes	NE
Alania	NE
Alaricum	NE
Alaricus	NE
Alaricô	NE
Albana	NE
Albane	NE
Albanes	NE
Albani	NE
Albania	NE
Albanus	NE
Alber	NE
Alberen	NE
Albern	NE
Albers	NE
Albertch	NE
Alberîch	NE
Albonie	NE
Albranden	NE
Albreht	NE
Albrehte	NE
Albrehten	NE
Albrehtes	NE
Albrehts	NE
Alcamum	NE
Alcamus	NE
Alchamus	NE
Alchimus	NE
Alchimô	NE
Alco	NE
Alda	NE
Aldarot	NE
Alden	NE
Aleberten	NE
Aleide	NE
Aleit	NE
Aleken	NE
Alemandînen	NE
Alemanne	NE
Alemannia	NE
Alemanniam	NE
Alemannî	NE
Alerie	NE
Alexander	NE
Alexandere	NE
Alexanderen	NE
Alexanderes	NE
Alexandern	NE
Alexanders	NE
Alexandre	NE
Alexandri	NE
Alexandria	NE
Alexandriae	NE
Alexandriam	NE
Alexandris	NE
Alexandriê	NE
Alexandrum	NE
Alexandrî	NE
Alexandrîe	NE
Alexandrô	NE
Alf	NE
Alfabîn	NE
Alfabînen	NE
Alfatones	NE
Alfenor	NE
Alfeî	NE
Alfric	NE
Alfricken	NE
Alftere	NE
Alfteren	NE
Algaphiles	NE
Algarich	NE
Algasiles	NE
Algeshûsen	NE
Alheide	NE
Alibata	NE
Alimus	NE
Alinus	NE
Alischanz	NE
Alise	NE
Alisen	NE
Alktebele	NE
Alktebeles	NE
Allecto	NE
Almachî	FM
Almadian	NE
Almanne	NA
Almarie	NE
Almenia	NE
Almeriê	NE
Almers	NE
Almerîch	NE
Almice	NE
Almânje	NE
Aloes	NE
Alpershover	NE
Alphart	NE
Alpharten	NE
Alpheim	NE
Alpheus	NE
Alpheî	NE
Alprîch	NE
Alprîche	NE
Alprîchen	NE
Alrich	NE
Alrîch	NE
Alrôten	NE
Alsnac	NE
Alsnacke	NE
Alte	NE
Alteclêre	NE
Alteclêren	NE
Altegunde	FM
Altena	NE
Altenberc	NE
Altenburc	NE
Altenmünster	NE
Altensdorf	NE
Alteon	NE
Alteonen	NE
Alteonis	NE
Alterot	NE
Altheim	NE
Altissimus	NE
Altvil	NA
Alv	NE
Alve	NE
Alzei	NE
Alzeie	NE
Alzeier	NA
Alzna	NE
Amalachiten	NA
Amalech	NE
Amaleches	NE
Amalfi	NE
Amana	NE
Amanas	NE
Amandi	FM
Amarezur	NE
Amasa	NE
Amazones	NA;NE
Amazonia	NE
Amazonienlande	NE
Ambesser	NE
Ambrosien	NE
Ambrosii	NE
Ambrosis	NE
Ambrosius	NE
Amelgêr	NE
Amelgêre	NE
Amelgêren	NE
Amelgêres	NE
Amelolt	NE
Amelolten	NE
Amelrîch	NE
Amelrîche	NE
Amelunc	NE
Amelunge	NA
Amelungen	NA
Amelunges	NE
Amelîe	NE
Amelîen	NE
Amelôt	NE
Amelôte	NE
Amenta	NE
Aminadap	NE
Amman	NA
Amminadap	NE
Amminadapes	NE
Ammirat	NE
Ammon	NE
Ammoneten	NA
Ammonii	FM
Ammonis	FM
Ammonite	NE
Amon	NE
Amone	NE
Amones	NE
Amonis	NE
Amoreô	NE
Amorreô	NE
Amos	NE
Ampelgart	NE
Amperingen	NA
Ampflîse	NE
Amphimacô	NE
Ampregalt	NE
Amram	NE
Amur	NE
Amurafel	NE
Amîse	NE
Ananiae	NE
Ananiam	NE
Ananias	NE
Ananiê	NE
Anastasiae	NE
Anastasii	NE
Anastasio*	NE
Anastasium	NE
Anastasius	NE
Anastasiî	NE
Anatholia	NE
Anatholiae	NE
Anatole	NE
Anchillen	NE
Anchilles	NE
Anchises	NE
Andel	NE
Andelin	NE
Andenor	NE
Andenore	NE
Andenorem	NE
Andenori	NE
Andenoridas	NE
Andenoris	NE
Andernache	NE
Andernacher	NA
Andrea	NE
Andreae	NE
Andream	NE
Andreas	NE
Andrease	NE
Andrei	NE
Andres	NE
Andriese	NE
Andriâ	NE
Androcheum	NE
Androinem	NE
Androines	NE
Andromacha	NE
Andromache	NE
Andromachen	NE
Andromachê	NE
Andronicus	NE
Andrê	NE
Andrômacha	NE
Anech	NE
Aneschouwe	NE
Anfimachum	NE
Anfimachô	NE
Anfimacus	NE
Anfortas	NE
Anfortasen	NE
Angnes	NE
Angnesen	NE
Anguli	FM
Anhoch	NE
Ankône	NE
Anna	NE
Annam	NE
Annas	NE
Anne	NE
Annen	NE
Anno	NE
Anphimachus	NE
Anphimacus	NE
Anphimacô	NE
Anphyon	NE
Anschevîn	NA
Anschouwe	NE
Anseis	NE
Anselm	NE
Anselme	NE
Anselmes	NE
